字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
W,6,"我只喜欢你","胡夏",,,分开,632 + 696,B - 右边单点^^^B - 右下右滑条开始,B - 左边单点^^^B - 右下单点,311,832,62 - 0.4,683,B - 右边长条中间,B - 左边单点、右边单点,311,832,1418264,32 + 0.0
R,10,"R.1.S.E","R1SE",,,分开,235 + 425、235 + 1032、235 + 425、235 + 1032、235 + 425、235 + 1032,A - 左边右滑条开始^^^A - 左边单点,A - 中间滑点^^^A - 右下右滑条结尾、左边右滑条开始,675,1398,78 + 0.0,235,A - 左边右滑条开始,A - 中间滑点,675,1398,2288024,39 + 0.4
B,7,"白衣少年","许诗茵",,,存气,472 + 825,A - 右下滑点^^^B - 右边滑点,A - 左边单点、右边单点^^^B - 右下单点,495,1081,69 - 0.2,858,B - 右下单点,B - 左下单点、右边单点,495,1081,1737292,34 + 0.0
M,8,"MARIA","黄明昊/KOHH",,,分开,522 + 779,B - 右边单点^^^B - 左下长条开始、右下长条开始,B - 左边单点^^^B - 左边单点、中间单点,459,895,74 - 0.5,779,B - 左下长条开始、右下长条开始,B - 左边单点、中间单点,459,895,1525113,38 - 0.4
,,"Lil Mama","Jain",,红色,分开,147 + 379,A - 右下单点^^^B - 右边滑点,A - 右下滑点^^^B - 右边滑点,300,561,66 + 0.2,147,A - 右下单点,A - 右下滑点,300,561,980429,33 + 0.3
D,8,"单线告别","接个吻，开一枪/刘至佳",,,分开,421 + 856,A - 右边左滑条右拐、左边单点^^^B - 左边右滑条左拐、右边单点,A - 右下单点^^^B - 左下单点,512,981,74 + 0.0,421、856,A - 右边左滑条右拐、左边单点,A - 右下单点,512,981,1722697,37 + 0.0
,,"Turn Up","周汤豪",,红色,分开,180 + 494,A - 左下单点^^^B - 右下单点,A - 右下右滑条开始^^^B - 左下左滑条开始,293,594,59 + 0.4,180、494,A - 左下单点,A - 右下右滑条开始,293,594,1022740,30 - 0.3
F,7,"Focus","TANGRAM",,,分开,710 + 814、710 + 817、710 + 814、710 + 817、710 + 814、710 + 817、710 + 814、710 + 817、711 + 814、711 + 817,B - 右下单点^^^B - 左边滑点,B - 右下滑点^^^B - 左边单点、右下单点,378,944,78 - 0.2,710、712,B - 右下单点,B - 右下滑点,378,944,1606684,41 - 0.3
,,"鍵ノ間","黒兎ウル",,,分开,116 + 911、116 + 912、116 + 913、116 + 914、432 + 894,A - 右边单点^^^B - 右下单点,A - 左下单点、右边单点^^^B - 左边滑点、右边单点,452,1016,89 + 0.1,911、912、913、914,B - 右下单点,B - 左边滑点、右边单点,452,1016,2184997,47 + 0.0
,,"着陆","白举纲",,,分开,135 + 389,A - 右下单点^^^B - 左下单点,A - 右下右滑条中间^^^B - 左下左滑条中间,271,648,56 + 0.0,135、389,A - 右下单点,A - 右下右滑条中间,271,648,1129427,28 + 0.0
A,8,"A型のうた","西野カナ",,,分开,67 + 504,A - 右下单点^^^B - 左下单点,A - 右边左滑条结尾、左边单点^^^B - 左边右滑条结尾、右边单点,424,860,70 + 0.2,504,B - 左下单点,B - 左边右滑条结尾、右边单点,424,860,1572469,35 + 0.1
,,"永世のクレイドル","鈴華ゆう子",,,分开,555 + 932,B - 左下单点^^^B - 左边长条中间,B - 右边单点^^^B - 左下单点、右边单点,489,1039,76 + 0.3,555,B - 左下单点,B - 右边单点,489,1039,1491665,39 + 0.1
G,6,"更发光","以团之名",,,分开,499 + 588、499 + 590、499 + 591、499 + 597,B - 右边滑点^^^B - 左下单点,B - 右下单点^^^B - 右下单点,403,711,55 - 0.4,588、590、591、597,B - 左下单点,B - 右下单点,403,711,1226392,28 - 0.2
,,"BEE","Rothy",,红色,分开,119 + 464、119 + 477,A - 右边左滑条开始^^^B - 左边右滑条开始,A - 左下滑点^^^B - 右下滑点,357,665,74 + 0.0,119,A - 右边左滑条开始,A - 左下滑点,357,665,1035293,38 + 0.1
,,"Ever After","Alice",,,分开,538 + 805,B - 右边左滑条结尾、左边滑点^^^B - 右下滑点,B - 右边滑点^^^B - 左边右滑条开始,441,908,62 + 0.2,805,B - 右下滑点,B - 左边右滑条开始,441,908,1325780,31 + 0.2
S,6,"Sunny Side Up!","Red Velvet",,红色,分开,263 + 541、263 + 542、264 + 541、264 + 542,A - 左边单点^^^B - 右下单点,A - 左下单点^^^B - 左边单点,355,681,59 - 0.4,263、264,A - 左边单点,A - 左下单点,355,681,1049179,30 + 0.4
,,"Let Me Hear","Fear, and Loathing in Las Vegas",,,分开,1310 + 1619、1310 + 1620、1310 + 1621、1310 + 1622、1310 + 1623、1310 + 1625、1319 + 1619、1319 + 1620、1319 + 1621、1319 + 1622,B - 左边单点、右边单点^^^B - 右边单点,B - 左边单点、右边单点^^^B - 左下单点,900,1731,148 + 0.4,1310、1319、1322、1325,B - 左边单点、右边单点,B - 左边单点、右边单点,900,1731,3580934,84 - 0.4
,,"七つ紅葉灯","木制みゅーと",,,分开,467 + 1271,A - 左下单点、右边滑点^^^B - 左边单点、右边单点,A - 左边右滑条左拐、右边单点^^^B - 右边滑点,759,1499,123 - 0.5,467,A - 左下单点、右边滑点,A - 左边右滑条左拐、右边单点,759,1499,3369250,62 - 0.2
D,8,"DEAREST DROP","田所あずさ",,,分开,232 + 397、232 + 398、232 + 1062、232 + 1063、233 + 397、233 + 398、233 + 1062、233 + 1063、234 + 397、234 + 398,A - 右下滑点^^^A - 左下单点,A - 左边滑点^^^A - 右边单点,661,1223,81 + 0.4,232、234,A - 右下滑点,A - 左边滑点,661,1223,2011513,42 - 0.4
A,7,"Angel With A Shotgun","Nightcore",,,分开,208 + 501,A - 左下单点^^^B - 右下单点,A - 左边单点^^^B - 右边单点,411,906,74 + 0.4,208、501,A - 左下单点,A - 左边单点,411,906,1477405,37 + 0.2
D,9,"当妮走了","徐真真",,,分开,354 + 414、354 + 415、354 + 416、355 + 414、355 + 415、355 + 416、356 + 414、356 + 415、356 + 416、357 + 414,A - 左下单点^^^B - 左边单点,A - 左边单点^^^B - 右边单点,414,852,81 + 0.0,354、356、357、358、360、361、362、364、365、366,A - 左下单点,A - 左边单点,414,852,1793571,41 - 0.2
,,"长安巷","排骨教主",,红色,分开,148 + 233,A - 右边右滑条中间^^^B - 左边单点,A - 左边滑点^^^B - 右下右滑条中间,230,475,65 - 0.2,148,A - 右边右滑条中间,A - 左边滑点,230,475,875971,33 - 0.4
W,9,"五等分の気持ち","花泽香菜/竹達彩奈/伊藤美来/佐倉綾音/水瀬いのり",,,分开,843 + 1084、843 + 1086,B - 左下单点^^^B - 右下单点,B - 右边单点^^^B - 左边单点,600,1234,91 + 0.0,1084、1086,B - 右下单点,B - 左边单点,600,1234,2235541,47 + 0.2
,,"I Still Do","Why Don't We",,红色,分开,11 + 231,A - 左下单点^^^A - 右下单点,A - 右下右滑条中间^^^A - 左下滑点,286,490,56 - 0.1,231,A - 右下单点,A - 左下滑点,286,490,812898,27 - 0.2
W,6,"我很快乐","刘惜君",,红色,分开,202 + 420,A - 左边滑点^^^B - 右边滑点,A - 左边单点、右边单点^^^B - 左边单点、右边单点,308,624,65 - 0.4,202、420,A - 左边滑点,A - 左边单点、右边单点,308,624,1125601,32 + 0.3
C,6,"彻底","庄心妍",,,分开,737 + 880,B - 左边单点、右边单点^^^B - 左边滑点,B - 右边长条中间、左边滑点^^^B - 左下单点、右边单点,499,1048,65 + 0.1,880,B - 左边滑点,B - 左下单点、右边单点,499,1048,1750076,33 + 0.1
,,"我的朋友","TFBOYS",,,分开,268 + 804、268 + 836、300 + 804、300 + 836、328 + 804、328 + 836,A - 左边单点^^^B - 右边单点,A - 右边单点^^^B - 左边单点,566,1154,78 + 0.0,268、300、804、836,A - 左边单点,A - 右边单点,566,1154,1933180,39 + 0.0
Q,10,"琪露诺的完美算术教室","IOSYS",,,存气,787 + 883,A - 右边单点^^^B - 左边单点,A - 左边右滑条结尾、右边左滑条结尾^^^B - 左边单点,855,1587,124 + 0.1,883、884、885、886、887、888、889、890、891、911,B - 左边单点,B - 右下单点,855,1587,3398034,68 - 0.5
,,"One In A Billion","Wake Up, May'n!",,,分开,763 + 1014,B - 左边右滑条中间、右边长条中间^^^B - 左下单点、右边单点,B - 右边滑点^^^B - 左下单点,541,1171,73 + 0.0,763,B - 左边右滑条中间、右边长条中间,B - 右边滑点,541,1171,2003562,37 + 0.4
,,"别爱太满别睡太晚","贺一航",,,分开,260 + 449,A - 左边滑点^^^B - 右下单点,A - 左下长条结尾^^^B - 右边长条结尾,336,749,60 - 0.1,449,B - 右下单点,B - 右边长条结尾,336,749,1230813,30 + 0.2
,,"两小无猜","小木",,红色,分开,229 + 451、230 + 451,A - 左边长条结尾^^^B - 右边单点,A - 右边单点^^^B - 左边长条结尾、右边长条结尾,309,705,71 + 0.4,451,B - 右边单点,B - 左边长条结尾、右边长条结尾,309,705,1260508,39 + 0.2
,,"Brand New Story","GENERATIONS from EXILE TRIBE",,红色,分开,96 + 351,A - 右下单点^^^B - 左下左滑条开始,A - 右边左滑条开始^^^B - 右下单点,246,588,57 - 0.2,96,A - 右下单点,A - 右边左滑条开始,246,588,995260,29 - 0.5
I,8,"I am YOU","Stray Kids",,,分开,427 + 792,A - 右下滑点^^^B - 左下滑点,A - 右边单点^^^B - 左边单点,573,985,77 - 0.4,427、792,A - 右下滑点,A - 右边单点,573,985,1559276,38 + 0.3
,,"アリエラ","佐香智久/天月-あまつき-",,红色,分开,460 + 778,B - 左边滑点^^^B - 右边左滑条中间,B - 左边单点、右边单点^^^B - 右边单点,356,858,93 + 0.4,460,B - 左边滑点,B - 左边单点、右边单点,356,858,1737832,50 - 0.3
,,"Shatter Me","Lindsey Stirling/Lzzy Hale",,,分开,1076 + 1329、1076 + 1330,B - 左下单点^^^B - 左边单点,B - 左边滑点、右边长条开始^^^B - 右下单点,871,1501,132 + 0.0,1329、1330,B - 左边单点,B - 右下单点,871,1501,2531975,66 + 0.4
,,"All Mine","f(x)",,红色,分开,65 + 461,A - 右下单点^^^B - 右边单点,A - 左下单点^^^B - 右下滑点,383,743,60 - 0.1,461,B - 右边单点,B - 右下滑点,383,743,1069167,30 + 0.2
,,"Come Back Down","Mediks",100,,分开,242 + 1104,A - 中间单点^^^B - 中间单点,A - 右边左滑条开始^^^B - 左边右滑条开始,826,1616,97 + 0.0,242、1104,A - 中间单点,A - 右边左滑条开始,826,1616,2919716,49 - 0.5
,,"Sweet but Psycho","Ava Max",,,分开,209 + 466、466 + 772,A - 右下单点^^^B - 左下单点,A - 右边单点^^^B - 左边单点,357,842,61 + 0.4,209、466,A - 右下单点,A - 右边单点,357,842,1529646,31 - 0.3
S,6,"SHOOT IT OUT","GENERATIONS from EXILE TRIBE/THE RAMPAGE from EXILE TRIBE",,,分开,281 + 665,A - 左下单点^^^B - 右下单点,A - 左下单点^^^B - 右下单点,340,804,63 - 0.4,281、665,A - 左下单点,A - 左下单点,340,804,1347020,31 + 0.3
,,"赝品","简弘亦",,红色,分开,140 + 358、307 + 358,A - 右下单点^^^B - 右边单点,A - 右边单点^^^B - 左下左滑条开始,241,490,54 + 0.4,358,B - 右边单点,B - 左下左滑条开始,241,490,977782,27 + 0.3
G,10,"冠世一战","言和",100,,分开,1102 + 1502、1102 + 1509,B - 左边单点、右边单点^^^B - 左下单点、右边长条开始,B - 右下长条开始^^^B - 中间单点,810,1943,97 + 0.1,1102,B - 左边单点、右边单点,B - 右下长条开始,810,1943,3221581,52 - 0.1
,,"I Want You to Know","Zedd/Selena Gomez",,,分开,253 + 585、253 + 587,A - 左下单点^^^B - 右边左滑条中间,A - 右边单点^^^B - 左边滑点,430,873,54 + 0.3,253,A - 左下单点,A - 右边单点,430,873,1326004,28 - 0.2
,,"新青年","李行亮",,红色,分开,277 + 543,A - 左边单点、右边单点^^^B - 右边单点,A - 左边单点^^^B - 右下单点,332,648,61 + 0.3,543,B - 右边单点,B - 右下单点,332,648,1034070,31 + 0.0
,,"灿烂之夏","王子异",,红色,分开,159 + 388,A - 左边单点、右边单点^^^B - 左边单点、右边单点,A - 左下单点^^^B - 右下单点,242,471,70 + 0.4,159、388,A - 左边单点、右边单点,A - 左下单点,242,471,892875,35 + 0.2
T,8,"淘气堡","Chic Chili",,,分开,129 + 667、667 + 1165,A - 左边单点、右边单点^^^B - 左边单点、右边单点,A - 右边滑点^^^B - 左边滑点,622,1448,86 - 0.2,129、667,A - 左边单点、右边单点,A - 右边滑点,622,1448,2190154,43 - 0.1
,,"Summer Time","倖田來未",,,分开,477 + 933,A - 左边长条开始、右下单点^^^B - 左下单点、右边长条开始,A - 左边长条中间^^^B - 右边长条中间,558,1061,79 + 0.2,477、933,A - 左边长条开始、右下单点,A - 左边长条中间,558,1061,1887014,40 - 0.4
,,"光耀","梁心颐",,红色,分开,280 + 616,A - 右边单点^^^B - 左边单点,A - 左边滑点^^^B - 右边滑点,354,690,68 - 0.4,280、616,A - 右边单点,A - 左边滑点,354,690,1170325,34 - 0.2
,,"Getaway","Syn Cole",,,分开,164 + 567、449 + 567,A - 右下单点^^^B - 右边单点,A - 右边单点^^^B - 左边单点,259,650,51 - 0.2,567,B - 右边单点,B - 左边单点,259,650,1110499,26 - 0.3
R,10,"Remember","FTISLAND",,,分开,947 + 1861、949 + 1861,A - 左边单点、右边单点^^^B - 左下滑点、右边滑点,A - 左边长条结尾、右下长条结尾^^^B - 左边长条中间、右边长条中间,1098,2015,86 - 0.1,1861,B - 左下滑点、右边滑点,B - 左边长条中间、右边长条中间,1098,2015,2924966,43 + 0.1
,,"HIT","SEVENTEEN",,,分开,276 + 555、276 + 557、278 + 555、278 + 557,A - 左边单点^^^B - 右边单点,A - 右边长条结尾、左下单点^^^B - 左边长条结尾、右下单点,351,675,56 + 0.4,276、278、555、557,A - 左边单点,A - 右边长条结尾、左下单点,351,675,1225641,28 + 0.2
,,"Dreams Come True","徐明浩",,红色,分开,73 + 216,A - 左边滑点^^^A - 右下单点,A - 右下单点^^^A - 右边单点,294,584,58 - 0.2,73,A - 左边滑点,A - 右下单点,294,584,1089590,30 - 0.5
,,"唱起这首歌","刘人语",,,分开,227 + 578,A - 左边单点^^^B - 右边单点,A - 右下单点^^^B - 左下单点,372,723,66 + 0.0,227、578,A - 左边单点,A - 右下单点,372,723,1277376,33 + 0.0
B,6,"Birthday","罗志祥",,,分开,313 + 471,A - 右边单点^^^B - 左边单点,A - 左边单点^^^B - 左边单点,471,791,59 - 0.2,471,B - 左边单点,B - 左边单点,471,791,1325089,30 - 0.4
,,"Good Girl 赶快爱","陈芳语",,红色,分开,147 + 533、147 + 535、148 + 533、148 + 535、149 + 533、149 + 535,A - 右边单点^^^B - 左边单点,A - 左边单点^^^B - 右边单点,334,720,69 + 0.0,147、149、533、535,A - 右边单点,A - 左边单点,334,720,1266839,35 - 0.5
,,"空白少女电子祭","天音/zun",,,存气,363 + 795、364 + 794,A - 左边单点^^^B - 左下单点,A - 左边长条结尾、右边单点^^^B - 左下滑点、右下滑点,392,938,74 - 0.5,839,B - 左下单点,B - 左下滑点、右下滑点,392,938,1704839,38 - 0.2
L,8,"Last One Standing","Simple Plan",,,分开,347 + 825,A - 右边滑点^^^B - 左边单点、右边长条开始,A - 左下左滑条结尾、右边左滑条结尾^^^B - 左下左滑条结尾、右边长条开始,426,1145,79 + 0.4,825,B - 左边单点、右边长条开始,B - 左下左滑条结尾、右边长条开始,426,1145,1924320,41 - 0.5
S,6,"SHOW THE WORLD","林俊杰",,红色,分开,104 + 547、104 + 548、105 + 547、105 + 548,A - 右下单点^^^B - 左下单点,A - 右下单点^^^B - 左下单点,364,609,55 + 0.0,547、548,B - 左下单点,B - 左下单点,364,609,964044,28 + 0.0
,,"孤身","徐秉龙",,红色,分开,181 + 331,A - 右边单点^^^B - 右下单点,A - 右边单点^^^B - 左边单点,267,511,54 - 0.3,181,A - 右边单点,A - 右边单点,267,511,879571,27 + 0.4
,,"Time with you","圭贤",,红色,分开,81 + 338,A - 左边滑点^^^B - 左下滑点,A - 左下左滑条结尾^^^B - 右边单点,221,415,50 - 0.2,338,B - 左下滑点,B - 右边单点,221,415,715889,25 - 0.1
A,9,"Another(Feat. 王嘉尔)","秦奋",100,,分开,310 + 1281,A - 右边单点^^^B - 左边单点、右边单点,A - 左下左滑条结尾、右边单点^^^B - 右下右滑条结尾,692,1422,82 - 0.1,310,A - 右边单点,A - 左下左滑条结尾、右边单点,692,1422,2367578,41 + 0.1
W,7,"我的告白","王栎鑫/周文杰",,,分开,390 + 854,A - 左下滑点^^^B - 右下滑点,A - 左边长条中间、右边单点^^^B - 右边长条中间、左边单点,639,1103,79 - 0.2,390、854,A - 左下滑点,A - 左边长条中间、右边单点,639,1103,1803512,39 + 0.4
R,8,"Radiant","TANGRAM",,,分开,328 + 831,A - 左边右滑条开始、右下单点^^^B - 左下单点、右边左滑条开始,A - 右边左滑条中间、左下长条结尾^^^B - 左边右滑条中间、右下长条结尾,525,1073,81 + 0.2,328、831,A - 左边右滑条开始、右下单点,A - 右边左滑条中间、左下长条结尾,525,1073,1756275,41 - 0.4
,,"Leave Out All The Rest","Linkin Park",,,分开,1140 + 1348,B - 左边长条开始、中间长条开始^^^B - 右边单点,B - 左下长条结尾、右下长条结尾^^^B - 左边长条结尾、右边长条中间,660,1477,84 - 0.2,1348,B - 右边单点,B - 左边长条结尾、右边长条中间,660,1477,1995119,42 + 0.0
,,"春、恋桜。","majiko",,红色,分开,99 + 275、99 + 276、99 + 277,A - 左边单点^^^B - 右下单点,A - 左边单点^^^B - 右下单点,189,400,47 + 0.4,99、275、276、277,A - 左边单点,A - 左边单点,189,400,735720,24 - 0.3
,,"Leaving California","Maroon 5",,红色,分开,182 + 528、182 + 529、182 + 535、182 + 538、183 + 528、183 + 529、183 + 535、183 + 538、189 + 528、189 + 529,A - 左下单点^^^B - 右下单点,A - 左下单点^^^B - 右下单点,318,663,55 - 0.2,182、183、189、192、528、529、535、538,A - 左下单点,A - 左下单点,318,663,976793,27 + 0.4
Q,7,"群居动物","胡66",,,分开,146 + 238、146 + 673,A - 左边滑点^^^A - 左边单点,A - 右边单点^^^A - 左边单点,394,772,76 + 0.0,146,A - 左边滑点,A - 右边单点,394,772,1520790,38 + 0.3
,,"DAYS of DASH","鈴木このみ",,,分开,246 + 859、246 + 861、248 + 859、248 + 861,A - 左边单点、右下单点^^^B - 左下单点、右边单点,A - 左下单点、右边单点^^^B - 左边单点、右下单点,613,1226,82 + 0.0,246、248、859、861,A - 左边单点、右下单点,A - 左下单点、右边单点,613,1226,1991708,41 + 0.0
,,"有你我就不孤单","罗志祥/恺乐/C.T.O",,,分开,337 + 676、337 + 678、337 + 679、337 + 680、337 + 687、338 + 676、338 + 678、338 + 679、338 + 680、338 + 687,A - 右下单点^^^B - 左下单点,A - 右边单点^^^B - 左边单点,416,891,70 + 0.2,337、339、340、341、348、676、678、679、680、687,A - 右下单点,A - 右边单点,416,891,1558418,35 + 0.1
D,6,"地铁等待","张紫豪",,,分开,276 + 680,A - 左下单点^^^B - 右下单点,A - 右下单点^^^B - 左下单点,477,881,56 + 0.2,276、680,A - 左下单点,A - 右下单点,477,881,1342457,28 + 0.1
,,"Light up","刘人语",,,分开,257 + 1271、849 + 1271,A - 左边单点、右边单点^^^B - 左边单点、右边单点,A - 左边单点^^^B - 左边单点、右边单点,691,1359,95 + 0.3,1271,B - 左边单点、右边单点,B - 左边单点、右边单点,691,1359,2637841,49 - 0.2
,,"世界は恋に落ちている","CHiCO with HoneyWorks",,,分开,360 + 595,B - 左边单点、右下单点^^^B - 左边长条中间,B - 右下单点^^^B - 左边左滑条结尾、右边左滑条结尾,328,689,68 + 0.0,595,B - 左边长条中间,B - 左边左滑条结尾、右边左滑条结尾,328,689,1432186,34 + 0.1
,,"好喜欢你","颜人中",,红色,分开,203 + 380,B - 左边单点、右边单点^^^B - 左边单点,B - 左边左滑条中间^^^B - 右边单点,181,448,64 - 0.3,380,B - 左边单点,B - 右边单点,181,448,844962,32 - 0.1
,,"Pink Magic","艺声",,,分开,206 + 408、206 + 409、206 + 413、206 + 414、207 + 408、207 + 409、207 + 413、207 + 414、211 + 408、211 + 409,A - 左下单点^^^B - 右下单点,A - 左下单点^^^B - 右下单点,296,598,50 - 0.2,206、207、211、212、408、409、413、414,A - 左下单点,A - 左下单点,296,598,1011534,25 - 0.1
B,6,"Break The Rules","Charli XCX",,红色,分开,286 + 471,A - 右下滑点^^^B - 右边单点,A - 左边单点^^^B - 右边滑点,338,649,73 + 0.1,471,B - 右边单点,B - 右边滑点,338,649,1282741,37 + 0.0
F,8,"浮年盏","刘珂矣",,,分开,932 + 1169,B - 左边单点^^^B - 右边左滑条中间、左边长条中间,B - 左边长条结尾、右下单点^^^B - 右边滑点,583,1284,79 + 0.1,1169,B - 右边左滑条中间、左边长条中间,B - 右边滑点,583,1284,2013059,41 - 0.3
L,9,"啰哩叭唆","陈嘉桦",,,分开,47 + 484,A - 左下单点^^^B - 右下单点,A - 左下单点^^^B - 右下单点,418,858,76 + 0.2,484,B - 右下单点,B - 右下单点,418,858,1797499,38 + 0.1
,,"我们很好","林俊杰",,红色,分开,239 + 315、243 + 315,B - 右下右滑条开始^^^B - 左边单点,B - 左下左滑条开始^^^B - 右边长条结尾,234,456,53 + 0.1,239、243,B - 右下右滑条开始,B - 左下左滑条开始,234,456,747976,27 - 0.3
,,"Snapping","金请夏",,红色,分开,164 + 443,A - 左下单点、右边单点^^^B - 左边单点、右下单点,A - 左边滑点^^^B - 右边滑点,257,569,65 - 0.2,164、443,A - 左下单点、右边单点,A - 左边滑点,257,569,1063971,32 + 0.4
,,"树洞","欧阳娜娜",,,分开,723 + 836,B - 左边长条开始、右边单点^^^B - 右边单点,B - 左边右滑条结尾、右边单点^^^B - 右边左滑条结尾、左边单点,550,1002,74 + 0.1,723,B - 左边长条开始、右边单点,B - 左边右滑条结尾、右边单点,550,1002,1544416,40 - 0.1
,,"别再靠近我了","陈雪凝",,红色,分开,714 + 822,B - 左下滑点、右下右滑条开始^^^B - 左边滑点、右边长条开始,B - 右边左滑条结尾、左边单点^^^B - 左边长条中间、右边长条中间,453,931,86 - 0.2,714,B - 左下滑点、右下右滑条开始,B - 右边左滑条结尾、左边单点,453,931,1440897,45 - 0.2
,,"好奇的猫","胡66",,红色,分开,178 + 501,A - 右边单点^^^B - 左边单点,A - 左边单点、右边单点^^^B - 左边单点、右边单点,350,668,64 - 0.4,178、501,A - 右边单点,A - 左边单点、右边单点,350,668,1159266,32 - 0.2
,,"流光记","银临",,红色,分开,245 + 475,A - 右下单点^^^B - 左边单点、右下滑点,A - 右下单点^^^B - 右边滑点,355,651,64 + 0.3,245,A - 右下单点,A - 右下单点,355,651,1174489,32 + 0.3
L,7,"Light","San Holo",,红色,分开,206 + 711、207 + 711,A - 右边单点^^^B - 右边单点,A - 右边单点^^^B - 左边单点,462,975,88 + 0.4,711,B - 右边单点,B - 左边单点,462,975,1709154,45 + 0.2
,,"カーストルーム","ZAQ",,,存气,493 + 1084、494 + 1083,A - 右边左滑条中间^^^B - 左下左滑条中间,A - 右边滑点^^^B - 右下长条结尾,507,1252,75 - 0.5,1150,B - 右下长条中间,B - 右下长条结尾,507,1252,1876577,39 - 0.3
W,6,"我要飞","飞儿乐团",,,分开,104 + 646、105 + 646,A - 右边单点^^^B - 右下单点,A - 左边单点^^^B - 右边单点,384,814,65 - 0.1,104、105,A - 右边单点,A - 左边单点,384,814,1281427,33 + 0.1
,,"傻了吧","大张伟",,,分开,345 + 1094,A - 左边左滑条右拐、右下滑点^^^B - 右边右滑条左拐、左下滑点,A - 右下单点^^^B - 左下单点,631,1459,89 + 0.4,345、1094,A - 左边左滑条右拐、右下滑点,A - 右下单点,631,1459,2513903,45 - 0.3
,,"Ring of Fortune","佐々木恵梨",,,分开,436 + 1017,A - 左下长条开始^^^B - 右下长条开始,A - 左边长条结尾^^^B - 右边长条结尾,582,1159,75 - 0.4,436、1017,A - 左下长条开始,A - 左边长条结尾,582,1159,1938912,37 + 0.3
,,"Talking to Myself","Linkin Park",,,分开,329 + 589、329 + 590、329 + 594、330 + 589、330 + 590、330 + 594、334 + 589、334 + 590、334 + 594,A - 右下单点^^^B - 左下单点,A - 右下单点^^^B - 左下单点,431,739,56 + 0.4,589、590、594,B - 左下单点,B - 左下单点,431,739,1213764,29 - 0.3
