字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
B,7,"表白","萧亚轩",,,分开,286 + 341,B - 右边单点^^^B - 左边单点,B - 右边单点^^^B - 左边单点,286,654,66 + 0.2,286,B - 右边单点,B - 右边单点,286,654,1337752,34 - 0.4
,,"等我先说","夏天Alex",,,分开,277 + 606,A - 右下右滑条开始^^^B - 右边单点,A - 左下长条结尾、右边单点^^^B - 左下单点,363,701,60 + 0.4,277,A - 右下右滑条开始,A - 左下长条结尾、右边单点,363,701,1220669,31 - 0.4
N,8,"你，有没有过","林俊杰",,,分开,182 + 935,A - 左边单点^^^B - 左边单点、右边右滑条开始,A - 左下单点^^^B - 左边单点,549,1100,79 - 0.3,935,B - 左边单点、右边右滑条开始,B - 左边单点,549,1100,1810026,40 - 0.4
,,"我的梦","张靓颖",,红色,存气,209 + 245,A - 左边单点^^^B - 左下单点,A - 左下单点、右下单点^^^B - 左下单点,231,538,66 - 0.5,260,B - 左下长条中间,B - 右边单点,231,538,1053861,34 + 0.0
Y,9,"邮递马车","Hermann Necke",,红色,分开,331 + 625、331 + 627,B - 左边右滑条结尾、右边滑点^^^B - 右边单点,B - 左下单点、右下单点^^^B - 左下滑点、右边单点,282,811,107 + 0.2,331,B - 左边右滑条结尾、右边滑点,B - 左下单点、右下单点,282,811,1730178,59 - 0.4
M,7,"没有选择","胡彦斌",,,分开,485 + 570、485 + 571、486 + 570、486 + 571,B - 左边单点^^^B - 左边单点,B - 左下单点、右下单点^^^B - 左边长条结尾、右边长条结尾,314,662,69 + 0.2,485、486,B - 左边单点,B - 左下单点、右下单点,314,662,1427352,35 - 0.4
*,9,"ペガサス幻想","MAKE-UP",,,分开,214 + 496,A - 左边左滑条开始^^^B - 左边长条中间,A - 左边单点^^^B - 左边单点,468,1114,78 + 0.1,496,B - 左边长条中间,B - 左边单点,468,1114,1914205,40 + 0.3
,,"回忆那么伤","孙子涵",,红色,存气,176 + 486,A - 右边单点^^^B - 左边单点、右下单点,A - 左下单点^^^B - 左边滑点,209,565,71 - 0.2,500,B - 右边单点,B - 左边单点,209,565,1182757,37 - 0.5
,,"OKAY","王嘉尔",,红色,分开,361 + 421,B - 右下单点^^^B - 右边单点,B - 右边单点^^^B - 左边单点、右边单点,188,474,68 - 0.4,421,B - 右边单点,B - 左边单点、右边单点,188,474,973249,36 + 0.4
,,"Love Story","Taylor Swift",,,分开,199 + 677,A - 左边单点、右边单点^^^B - 左边单点、右边单点,A - 左边单点、右边单点^^^B - 右边滑点,493,803,74 - 0.2,677,B - 左边单点、右边单点,B - 右边滑点,493,803,1438683,38 - 0.2
X,6,"小星星","汪苏泷",,,分开,256 + 573,A - 左下左滑条开始^^^B - 左下单点,A - 左边左滑条结尾、右边单点^^^B - 右边单点,413,857,71 - 0.4,256,A - 左下左滑条开始,A - 左边左滑条结尾、右边单点,413,857,1498428,35 + 0.4
,,"非酋","薛明媛/朱贺",,红色,分开,150 + 389,A - 右下单点^^^B - 左下单点,A - 左下单点^^^B - 右下单点,247,510,63 + 0.0,150、389,A - 右下单点,A - 左下单点,247,510,1049906,32 - 0.5
,,"不完美小孩","TFBOYS",,红色,分开,306 + 429、306 + 430、306 + 431、306 + 432、308 + 429、308 + 430、308 + 431、308 + 432、308 + 429、308 + 430,B - 左下长条开始^^^B - 左下单点,B - 左边长条中间^^^B - 右下单点,306,706,65 + 0.3,429、430、431、432,B - 左下单点,B - 右下单点,306,706,1198490,33 - 0.2
,,"李白","李荣浩",,红色,分开,236 + 503,A - 左下单点、右下单点^^^B - 左边长条中间,A - 右边长条开始^^^B - 左边单点、右边单点,343,658,78 + 0.1,503,B - 左边长条中间,B - 左边单点、右边单点,343,658,1384216,42 - 0.4
,,"带你去旅行","校长",,红色,分开,216 + 410,A - 左边单点^^^B - 左边单点、右边单点,A - 右边单点^^^B - 左边单点,302,597,63 + 0.3,410,B - 左边单点、右边单点,B - 左边单点,302,597,1176424,32 + 0.0
,,"全部都是你","Dragon Pig",,红色,分开,99 + 231,A - 左边单点^^^B - 左下单点、右下单点,A - 左边单点^^^B - 左边右滑条结尾,178,389,57 - 0.2,231,B - 左下单点、右下单点,B - 左边右滑条结尾,178,389,791849,29 - 0.3
T,6,"Timber","Pitbull",,,分开,226 + 428、228 + 428、230 + 428,A - 左边单点、右边单点^^^B - 左下单点、右边单点,A - 左边长条结尾、右下单点^^^B - 右下单点,303,653,65 + 0.1,428,B - 左下单点、右边单点,B - 右下单点,303,653,1258613,33 - 0.3
,,"左边","杨丞琳",,红色,存气,247 + 501、248 + 501、248 + 500、248 + 501、248 + 502、249 + 501,A - 右边左滑条结尾^^^B - 右边单点,A - 左边长条结尾^^^B - 左下单点、右边单点,270,591,62 - 0.1,489,B - 左下滑点,B - 左边单点,270,591,1065670,32 - 0.2
,,"Bad Romance","Lady Gaga",,,分开,503 + 847、504 + 847,B - 左边左滑条右拐^^^B - 中间右滑条中间,B - 左边滑点^^^B - 左边长条结尾、右边单点,446,970,72 - 0.4,847,B - 中间右滑条中间,B - 左边长条结尾、右边单点,446,970,1537828,37 + 0.1
