首字母,等级,歌名,歌手,类型,技能,爆点,bar,box,开头描述,结尾描述,分数,指数
,,"萤火","TFBOYS",押爆,爆气,152,28,7,A - 一轨长条结尾,A - 一轨单点、三轨单点,1158112,43 - 0.3
,,"萤火","TFBOYS",超极限,爆气,148,27,31,A - 一轨长条中间,A - 一轨单点、三轨单点,1164476,44 - 0.1
,,"萤火","TFBOYS",超极限,爆气,153,28,15,A - 三轨单点,A - 一轨单点,1161825,43 + 0.4
,,"萤火","TFBOYS",超极限,爆气,144,27,23,A - 一轨长条开始,A - 二轨单点、四轨单点,1160232,43 + 0.1
,,"萤火","TFBOYS",超极限,爆气,151,28,5,A - 一轨长条中间,A - 一轨单点、三轨单点,1159703,43 + 0.0
,,"给我一个理由忘记","A-Lin",非押爆,爆气,678,68,4,B - 一轨长条中间,B - 一轨长条右滑、四轨长条左滑,1534305,46 + 0.0
,,"给我一个理由忘记","A-Lin",非押爆,爆气,680,68,7,B - 一轨长条结尾、四轨单点,B - 一轨长条右滑、四轨长条左滑,1532714,46 - 0.3
,,"给我一个理由忘记","A-Lin",押爆,爆气,676,68,0,B - 一轨长条中间,B - 一轨长条右滑、四轨长条左滑,1537487,47 - 0.4
,,"给我一个理由忘记","A-Lin",押爆,爆气,680,68,7,B - 一轨长条结尾、四轨单点,B - 一轨长条右滑、四轨长条左滑,1532714,46 - 0.3
,,"给我一个理由忘记","A-Lin",超极限,爆气,676,67,31,B - 一轨长条中间,B - 一轨长条右滑、四轨长条左滑,1539078,47 - 0.1
,,"李白","李荣浩",非押爆,极限,378,75,20,B - 二轨单点,B - 二轨单点、三轨单点,831635,22 - 0.2
,,"李白","李荣浩",非押爆,极限,381,76,24,B - 三轨单点,B - 四轨长条中间,830594,21 + 0.2
,,"李白","李荣浩",非押爆,极限,381,76,22,B - 三轨单点,B - 四轨长条中间,830075,21 - 0.1
,,"李白","李荣浩",非押爆,极限,377,75,12,B - 三轨单点,B - 一轨单点、四轨单点,829904,21 - 0.2
,,"李白","李荣浩",非押爆,极限,379,75,25,B - 一轨单点,B - 二轨单点、三轨单点,829904,21 - 0.2
,,"李白","李荣浩",非押爆,极限,380,76,8,B - 二轨单点,B - 二轨长条中间,829730,21 - 0.3
,,"李白","李荣浩",非押爆,极限,383,77,8,B - 三轨单点,B - 一轨长条中间,829727,21 - 0.3
,,"李白","李荣浩",非押爆,极限,381,76,20,B - 三轨单点,B - 四轨长条开始,829556,21 - 0.4
,,"李白","李荣浩",非押爆,极限,382,76,26,B - 一轨单点,B - 四轨长条中间,829382,21 - 0.5
,,"李白","李荣浩",非押爆,极限,380,76,6,B - 二轨单点,B - 二轨长条中间,829211,20 + 0.4
,,"李白","李荣浩",押爆,爆气,377,75,16,B - 三轨单点,B - 二轨单点、三轨单点,836420,23 - 0.2
,,"李白","李荣浩",押爆,极限,377,75,16,B - 三轨单点,B - 二轨单点、三轨单点,833366,23 - 0.2
,,"李白","李荣浩",押爆,极限,378,75,17,B - 二轨单点,B - 二轨单点、三轨单点,831635,22 - 0.2
,,"李白","李荣浩",押爆,极限,381,76,24,B - 三轨单点,B - 四轨长条结尾,831632,22 - 0.2
,,"李白","李荣浩",超极限,爆气,377,75,15,B - 三轨单点,B - 二轨单点、三轨单点,836420,23 - 0.2
,,"李白","李荣浩",超极限,极限,377,75,15,B - 三轨单点,B - 二轨单点、三轨单点,833366,23 - 0.2
,,"李白","李荣浩",超极限,极限,378,75,17,B - 二轨单点,B - 二轨单点、三轨单点,831635,22 - 0.2
,,"李白","李荣浩",超极限,极限,381,76,23,B - 三轨单点,B - 四轨长条结尾,831632,22 - 0.2
,,"第一次爱的人","王心凌",非押爆,爆气,280,46,4,B - 二轨长条中间、三轨长条中间,B - 一轨单点、三轨单点,749051,26 - 0.5
,,"第一次爱的人","王心凌",非押爆,爆气,304,48,12,B - 一轨单点,B - 二轨长条结尾、四轨长条结尾,748522,25 + 0.4
,,"第一次爱的人","王心凌",非押爆,爆气,305,48,20,B - 二轨单点,B - 三轨单点,748522,25 + 0.4
,,"第一次爱的人","王心凌",非押爆,爆气,306,48,28,B - 二轨长条开始、三轨长条开始,B - 二轨单点,748522,25 + 0.4
,,"第一次爱的人","王心凌",非押爆,爆气,316,49,12,B - 四轨单点,B - 一轨长条结尾、三轨长条结尾,748522,25 + 0.4
,,"第一次爱的人","王心凌",非押爆,爆气,317,49,20,B - 三轨单点,B - 四轨单点,748522,25 + 0.4
,,"第一次爱的人","王心凌",非押爆,爆气,318,49,28,B - 二轨长条开始、三轨长条开始,B - 三轨单点,748522,25 + 0.4
,,"第一次爱的人","王心凌",非押爆,爆气,275,45,20,B - 三轨单点,B - 二轨长条结尾、三轨长条结尾,747989,25 + 0.3
,,"第一次爱的人","王心凌",非押爆,爆气,276,45,28,B - 二轨长条开始、三轨长条开始,B - 二一轨滑键,747989,25 + 0.3
,,"第一次爱的人","王心凌",非押爆,爆气,274,45,16,B - 二轨单点,B - 二轨长条中间、三轨长条中间,746929,25 + 0.1
,,"第一次爱的人","王心凌",押爆,爆气,276,46,0,B - 二轨长条开始、三轨长条开始,B - 一轨单点、三轨单点,758597,27 + 0.3
,,"第一次爱的人","王心凌",押爆,爆气,278,46,1,B - 二轨长条中间、三轨长条中间,B - 一轨单点、三轨单点,755415,27 - 0.3
,,"第一次爱的人","王心凌",押爆,爆气,304,48,16,B - 一轨单点,B - 三轨单点,753826,26 + 0.4
,,"第一次爱的人","王心凌",押爆,爆气,305,48,24,B - 二轨单点,B - 二轨单点,753826,26 + 0.4
,,"第一次爱的人","王心凌",押爆,爆气,316,49,16,B - 四轨单点,B - 四轨单点,753826,26 + 0.4
,,"第一次爱的人","王心凌",押爆,爆气,317,49,24,B - 三轨单点,B - 三轨单点,753826,26 + 0.4
,,"第一次爱的人","王心凌",超极限,爆气,276,45,31,B - 二轨长条开始、三轨长条开始,B - 一轨单点、三轨单点,758597,27 + 0.3
,,"第一次爱的人","王心凌",超极限,爆气,278,46,1,B - 二轨长条中间、三轨长条中间,B - 一轨单点、三轨单点,755415,27 - 0.3
,,"第一次爱的人","王心凌",超极限,爆气,304,48,15,B - 一轨单点,B - 三轨单点,753826,26 + 0.4
,,"第一次爱的人","王心凌",超极限,爆气,305,48,23,B - 二轨单点,B - 二轨单点,753826,26 + 0.4
,,"第一次爱的人","王心凌",超极限,爆气,316,49,15,B - 四轨单点,B - 四轨单点,753826,26 + 0.4
,,"第一次爱的人","王心凌",超极限,爆气,317,49,23,B - 三轨单点,B - 三轨单点,753826,26 + 0.4
,,"当你","林俊杰",非押爆,爆气,476,69,4,B - 四轨长条中间,B - 二轨长条中间、四三轨滑键,1410133,39 + 0.0
,,"当你","林俊杰",非押爆,爆气,478,69,7,B - 四轨长条左滑,B - 二轨长条中间,1410133,39 + 0.0
